"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.200660000E-1,2.568587696E0,-7.858464879E-1,1.011554859E0,2.870268400E0
6.300690000E-1,3.503138233E0,-5.555912120E-1,1.903082753E0,4.025218385E0
6.400720000E-1,2.989802985E0,-2.022102828E0,1.282580321E0,3.830513545E0
6.500750000E-1,1.310463354E0,-2.604534916E0,1.578079305E0,3.315305510E0
6.600780000E-1,-7.607455605E-1,-1.358802651E-1,3.604849380E0,3.686751457E0
6.700810000E-1,-1.549243176E-1,2.820699170E0,5.059609737E0,5.794824936E0
6.800840000E-1,8.114529070E-1,2.692484056E0,2.084590268E0,3.500491793E0
6.900870000E-1,-6.615343907E-1,2.805086227E-1,-2.422159383E0,2.526493402E0
7.000900000E-1,-3.087542996E0,-1.851225991E0,-4.829282066E0,6.023447907E0
7.100930000E-1,-5.218099102E0,-3.401339378E0,-5.515819443E0,8.319971871E0
7.200960000E-1,-5.876372793E0,-3.683145644E0,-5.674512291E0,8.960882143E0
7.300990000E-1,-5.779120148E0,-3.809876150E0,-7.041672587E0,9.874134837E0
7.401020000E-1,-5.221352493E0,-4.606729144E0,-8.245509040E0,1.079226087E1
7.501050000E-1,-4.929838972E0,-5.998831615E0,-8.631939243E0,1.161032593E1
7.601090000E-1,-4.791865148E0,-7.390240315E0,-8.295493963E0,1.209929104E1
7.701120000E-1,-4.363190566E0,-8.658988463E0,-7.312646009E0,1.214455865E1
7.801150000E-1,-3.862339123E0,-9.151318173E0,-5.478582619E0,1.134368350E1
7.901180000E-1,-3.219626627E0,-9.060169437E0,-3.160063380E0,1.012119886E1
8.001210000E-1,-2.153050638E0,-9.293890833E0,-7.450171351E-2,9.540313641E0
8.101240000E-1,-6.352929640E-1,-9.195234271E0,2.521527843E0,9.555837646E0
8.201270000E-1,1.181985993E0,-8.542178636E0,3.666670530E0,9.370719263E0
8.301300000E-1,3.290397817E0,-7.443647028E0,4.064969996E0,9.097174283E0
8.401330000E-1,5.226433139E0,-6.968897556E0,3.612058705E0,9.430169913E0
8.501360000E-1,7.440333996E0,-7.299189227E0,1.808342072E0,1.057860267E1
8.601390000E-1,9.454938354E0,-5.224606469E0,1.695096562E0,1.093461131E1
8.701420000E-1,9.928030726E0,-2.652391160E0,3.051998064E0,1.071987244E1
8.801450000E-1,9.605697116E0,-1.995809069E0,7.189310104E0,1.216301158E1
8.901480000E-1,1.162409164E1,-2.454417887E0,6.885401655E0,1.373143946E1
9.001510000E-1,1.162147443E1,-2.309035640E0,8.820208477E0,1.477113371E1
9.101540000E-1,1.174982783E1,-1.514897801E0,8.875774568E0,1.480313289E1
9.201570000E-1,1.271037801E1,-1.016600422E0,8.301356966E0,1.521511462E1
9.301600000E-1,1.377412336E1,-8.374703854E-1,7.890880673E0,1.589634640E1
9.401630000E-1,1.483404697E1,-5.793900740E-1,6.697131252E0,1.628607409E1
9.501660000E-1,1.485986945E1,-3.602890563E-1,4.836030337E0,1.563114575E1
9.601690000E-1,1.480477581E1,1.109211547E0,-6.690699899E-1,1.486133883E1
9.701720000E-1,1.290845010E1,1.304674026E0,-2.008922619E0,1.312882433E1
9.801750000E-1,1.292490066E1,3.428376904E0,-1.017290393E1,1.680163086E1
9.901790000E-1,1.184565901E1,4.679374074E0,-1.402030400E1,1.894162357E1
1.000182000E0,9.477498667E0,2.756410788E0,-6.189950198E0,1.165059075E1
1.010185000E0,8.453909068E0,1.421758087E0,-1.075258227E0,8.639800625E0
1.020188000E0,8.242605312E0,1.748578266E0,9.152111641E-1,8.475593181E0
1.030191000E0,8.035077689E0,2.462592294E0,2.173907071E0,8.680593656E0
1.040194000E0,6.752685648E0,1.461038513E0,2.021421920E0,7.198579274E0
1.050197000E0,3.584990482E0,-4.985400385E-1,-1.227479669E0,3.821963535E0
1.060200000E0,9.572529370E-1,-1.431091413E0,-4.013200795E0,4.366936734E0
1.070203000E0,-3.165857971E-1,-1.487987160E0,-5.329745253E0,5.542609207E0
1.080206000E0,-5.387606961E-1,-1.188429624E0,-4.867433394E0,5.039299148E0
