"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.303863700E-1,-3.667730093E-2,-9.987068176E-1,-1.498284817E0,1.801004699E0
1.484876260E-1,2.170109749E-1,-1.017901421E0,-1.466425896E0,1.798227453E0
1.665919360E-1,5.545210838E-2,5.352745056E-1,-2.602473736E0,2.657529544E0
1.846922770E-1,4.003407359E-1,-7.456159592E-2,-2.464437962E0,2.497856402E0
2.027892020E-1,5.085694194E-1,-3.978624344E-1,-2.509961605E0,2.591687603E0
2.208857590E-1,5.423045754E-1,-2.240836620E0,1.780786514E0,2.913184447E0
2.389826830E-1,-7.170975804E-1,-2.379987001E0,5.305671692E-1,2.541666498E0
2.570786910E-1,-1.754796982E0,-5.255620003E0,-8.103348732E0,9.816573472E0
2.751754320E-1,-3.901904821E0,-4.233122349E0,1.250610542E1,1.376760178E1
2.932721120E-1,2.129272223E0,-2.856353521E0,8.485102654E-1,3.662311470E0
3.113692800E-1,2.020328522E0,-1.353797436E0,-2.584879398E0,3.549097961E0
3.294615030E-1,4.885857105E-1,-1.390259743E0,-1.242009163E0,1.927206504E0
3.475618460E-1,1.046515226E0,-1.397193432E0,-7.761588097E-1,1.910436103E0
3.656588300E-1,3.458922625E0,-8.581299782E-1,-5.291867733E0,6.379999756E0
3.837557540E-1,9.131563902E-1,-1.188441992E0,-5.034749508E0,5.253089716E0
4.018515180E-1,-2.161451340E0,-1.294372320E0,-1.536581516E0,2.950992096E0
4.199482590E-1,-3.901311874E0,-2.271002054E0,-1.953202724E0,4.918606058E0
4.380451220E-1,-6.255674839E0,-2.772341967E0,-3.742443085E0,7.799053014E0
4.561383230E-1,-3.365586519E0,-3.269771099E0,1.673595047E1,1.738132946E1
4.742429360E-1,-1.098741531E0,-1.770660639E0,6.691697121E0,7.008657675E0
4.923349780E-1,2.251389027E0,1.331637144E0,-4.716959000E-1,2.657914042E0
5.104316580E-1,4.304864407E0,1.613420248E0,7.921089172E0,9.158528055E0
5.285286430E-1,1.432954550E0,-2.212505341E-1,2.145792007E0,2.589736257E0
5.466247110E-1,3.127668381E0,-2.936059237E0,-6.183969021E0,7.526235858E0
5.647225510E-1,3.270942211E0,1.623910546E0,-6.349969387E0,7.325179836E0
5.828166670E-1,4.945689201E0,1.054508686E0,-8.725218773E0,1.008470490E1
6.009153000E-1,8.123800278E0,9.527888894E-1,-1.754805565E0,8.365601006E0
6.190123460E-1,8.312240601E0,3.476408958E0,-7.684957504E0,1.184218455E1
6.371065240E-1,2.874749899E0,2.698380947E0,-7.609889030E0,8.570639286E0
6.552046680E-1,-8.885394096E0,-7.458559275E-1,-6.994157314E0,1.133246513E1
6.732855400E-1,-2.933631182E0,-8.291440964E0,-9.271012306E0,1.277911790E1
6.913978440E-1,-5.059330940E0,-9.565353394E0,-6.288847923E-1,1.083920252E1
7.094944020E-1,-4.523999214E0,-8.633847237E0,2.131583691E0,9.977651829E0
7.275789960E-1,-2.675403595E0,-8.510935783E0,5.734900951E0,1.060579564E1
7.456880050E-1,-2.548371792E0,-7.204777718E0,2.769444466E0,8.128520370E0
7.637841960E-1,-1.792596817E0,-5.298137665E0,3.355433464E0,6.522468842E0
7.818778860E-1,-1.104540825E0,-6.680647850E0,5.635582924E0,8.809702664E0
7.999803020E-1,2.439889908E-1,-7.595622063E0,7.717042923E0,1.083077821E1
8.180744190E-1,1.474614143E0,-7.965553761E0,8.840152740E0,1.199053102E1
8.361706710E-1,4.026079178E-1,-5.389232635E0,5.088591576E0,7.422916257E0
8.542674730E-1,-6.934580803E-1,-3.210236788E0,-1.304372072E0,3.533820998E0
8.723642140E-1,-1.614903450E0,-3.269875050E0,-2.885206699E0,4.650205769E0
8.904492360E-1,2.194932461E0,-3.996230602E0,-4.486432076E-1,4.581360962E0
9.085572670E-1,6.917005539E0,-4.550145149E0,5.320344925E0,9.841486505E0
9.266537030E-1,9.967885971E0,-4.748065948E0,8.835386276E0,1.414096643E1
9.447463550E-1,1.094807053E1,-1.817789078E0,1.012512970E1,1.502274465E1
9.628513960E-1,9.939354897E0,2.945008278E-1,7.295119286E0,1.233273173E1
9.809402640E-1,9.162583351E0,2.323239803E0,3.684072495E0,1.014508585E1
9.990431070E-1,8.144817352E0,3.436742306E0,1.578521371E0,8.980032132E0
1.017125078E0,8.144536972E0,2.870659351E0,-9.835027456E-1,8.691458177E0
1.035233843E0,7.128187656E0,1.707782745E0,4.363000393E-1,7.342883554E0
1.053330095E0,7.470214367E0,4.385614395E-1,2.900614262E0,8.025584210E0
1.071427141E0,7.385764599E0,1.177001476E0,4.311005592E0,8.632474755E0
1.089509172E0,6.258069515E0,8.495693207E-1,3.501779795E0,7.221333936E0
1.107623246E0,4.975709915E0,-2.783393860E-2,3.466750383E-1,4.987849985E0
1.125719255E0,4.324971199E0,-1.740579605E0,-2.299626350E0,5.198391538E0
1.143807756E0,3.160588264E0,-1.829887867E0,-3.261281967E0,4.896301446E0
1.161912736E0,2.196080208E0,-2.678974152E0,-1.813313246E0,3.909958531E0
1.180006731E0,1.132964134E0,-2.049649239E0,-3.015453100E0,3.818065889E0
1.198102678E0,-2.358730078E0,-9.502482414E-1,-1.158659744E1,1.186236990E1
1.216187823E0,-5.076974392E0,-1.449933052E0,-9.032201767E0,1.046224850E1
1.234296464E0,-6.659097672E-1,-7.176957130E-1,-2.002729893E0,2.229226318E0
1.252393511E0,2.635781288E0,-2.634301186E-1,2.318628788E0,3.520337751E0
1.270489640E0,2.791868210E0,1.033987999E-1,4.709811211E0,5.476088116E0
1.288586137E0,5.763853073E0,1.849905968E0,4.325062275E0,7.439779434E0
1.306682940E0,3.564169884E0,1.806996822E0,8.493365049E-1,4.085329482E0
1.324779680E0,2.730264664E-1,1.308509827E0,-1.218800545E0,1.808926805E0
1.342875993E0,-2.263841629E0,-3.282117844E-1,2.930113792E0,3.717293200E0
1.360972796E0,-7.574071884E-1,-8.887681961E-1,5.728606701E0,5.846409949E0
1.379069475E0,1.332797050E0,-2.357578278E-2,3.496151447E0,3.741654545E0
