"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.356711250E-1,1.249079401E1,-3.815921001E0,4.462616036E0,1.380203355E1
6.456741250E-1,1.489132162E1,-1.934969375E0,4.648934054E0,1.571967410E1
6.556771250E-1,1.639657268E1,-3.841264004E-1,4.466654123E0,1.699841604E1
6.656801250E-1,1.691475878E1,7.884642863E-1,4.169123817E0,1.743881687E1
6.756841250E-1,1.678640187E1,1.504546475E0,3.711342965E0,1.725749155E1
6.856871250E-1,1.667181282E1,2.029144630E0,3.511791528E0,1.715807245E1
6.956901251E-1,1.670614533E1,2.631403164E0,4.230939996E0,1.743331373E1
7.056941250E-1,1.598977955E1,3.212239839E0,3.908417521E0,1.677102449E1
7.156971250E-1,1.418359101E1,3.266580938E0,2.324708225E0,1.473937153E1
7.257001250E-1,1.231586871E1,2.938840992E0,1.161685922E0,1.271483081E1
7.357041250E-1,1.050371600E1,2.305934277E0,6.881512088E-1,1.077584961E1
7.457071251E-1,8.710290763E0,1.820072756E0,8.814779922E-2,8.898853862E0
7.557101250E-1,6.412872371E0,2.072788247E0,-5.089550405E0,8.445407420E0
7.657141250E-1,4.467590847E0,2.508716885E0,-1.367579775E1,1.460412519E1
7.757171250E-1,5.014973847E0,3.093953590E0,-1.203504916E1,1.340018357E1
7.857201250E-1,4.826789398E0,3.095615954E0,-6.737113928E0,8.847001644E0
7.957231250E-1,5.294718093E0,4.557937930E0,-2.833317753E0,7.539000421E0
8.057271250E-1,5.612307857E0,5.901977166E0,-9.363959187E-1,8.198058994E0
8.157301250E-1,6.014259494E0,5.481406825E0,-4.907047695E-1,8.152173281E0
8.257331250E-1,5.179530868E0,5.004572820E0,-8.286804123E-1,7.249827608E0
8.357371250E-1,3.550387829E0,4.570764382E0,-2.550119265E0,6.324575009E0
8.457401250E-1,2.218327784E0,4.196746064E0,-3.793245207E0,6.076377612E0
