"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.476925000E-2,-6.216771376E-1,3.399734902E-1,-9.695736051E-1,1.200890259E0
2.477325001E-2,-5.481726667E-1,1.897702146E-1,-9.900447071E-1,1.147473106E0
3.477725000E-2,-5.231872219E-1,1.476837105E-1,6.174659729E-4,5.436319791E-1
4.478025000E-2,-3.062973288E-1,1.742926347E-1,1.152478604E0,1.205156798E0
5.478425001E-2,-1.311764359E-1,1.525977105E-1,1.992344009E0,2.002480454E0
6.478725001E-2,7.860295057E-2,1.199912971E-1,2.371345325E0,2.375679899E0
7.479124999E-2,3.082307106E-1,8.741119623E-2,2.336192449E0,2.358058957E0
8.479525000E-2,3.892175710E-1,1.040009165E-1,2.201004238E0,2.237571488E0
9.479825001E-2,5.190108481E-1,1.322061306E-1,2.110989277E0,2.177872000E0
1.048022500E-1,5.743705317E-1,1.434959346E-1,1.632403446E0,1.736442802E0
1.148062500E-1,4.548508126E-1,2.579581046E-1,9.661874825E-1,1.098612715E0
1.248092500E-1,4.244420752E-1,4.733157349E-1,2.035860157E-1,6.675523394E-1
1.348132500E-1,2.287378138E-1,5.506638730E-1,-5.549048585E-1,8.145373475E-1
1.448162500E-1,-6.600044668E-3,5.724511832E-1,-1.144486629E0,1.279684947E0
1.548202500E-1,-5.714249969E-2,5.259605563E-1,-1.469092467E0,1.561452033E0
1.648242500E-1,-1.767826715E-1,4.193634760E-1,-1.306933390E0,1.383904882E0
1.748272500E-1,-1.645500040E-1,3.037236768E-1,-9.463619131E-1,1.007435182E0
1.848312500E-1,-1.590524518E-1,2.036041421E-1,-5.455077982E-1,6.035984485E-1
1.948342500E-1,-5.217909068E-2,2.103190845E-1,-2.732503277E-1,3.487441991E-1
2.048382500E-1,1.616664496E-1,3.520082295E-1,-1.946736896E-1,4.335247167E-1
2.148422500E-1,3.143097684E-1,6.701619574E-1,-2.851236838E-1,7.932232944E-1
2.248452500E-1,3.042923185E-1,1.040514072E0,-5.873978359E-1,1.233004285E0
2.348492500E-1,2.335462716E-1,1.274417316E0,-1.148667973E0,1.731508438E0
2.448522500E-1,1.504047123E-1,1.393930311E0,-1.837578735E0,2.311354343E0
2.548562500E-1,1.492194816E-1,1.323894993E0,-2.496527780E0,2.829773023E0
2.648602500E-1,2.775211340E-1,8.987997839E-1,-3.055366645E0,3.196892924E0
2.748632500E-1,3.397173822E-1,1.087406695E-1,-3.482423303E0,3.500643440E0
2.848672500E-1,3.104149380E-1,-6.401011294E-1,-3.792364324E0,3.858511896E0
2.948712500E-1,1.231140026E-1,-1.026528994E0,-3.803057712E0,3.941087006E0
3.048742500E-1,-1.443850037E-1,-9.373694801E-1,-3.307635409E0,3.440924377E0
3.148782500E-1,-5.522186476E-1,-4.933181825E-1,-2.450904295E0,2.560320317E0
3.248812500E-1,-8.935236950E-1,7.093695849E-2,-1.385963772E0,1.650549067E0
3.348852500E-1,-8.495190118E-1,6.826729524E-1,-3.961020827E-1,1.159578273E0
3.448892500E-1,-8.184113860E-1,9.873777920E-1,-1.101363999E-1,1.287183797E0
3.548922500E-1,-6.453773645E-1,4.605492166E-1,-1.250959164E-1,8.026621405E-1
3.648962500E-1,-2.026491456E-1,-4.060970208E-1,-2.287430763E-3,4.538575755E-1
3.748992500E-1,3.639899053E-1,-1.404640363E0,1.182523352E-1,1.455845739E0
3.849032500E-1,6.198817500E-1,-2.492711594E0,3.028483486E-1,2.586422548E0
3.949072500E-1,4.497904859E-1,-3.382846389E0,7.184848094E-1,3.487431949E0
4.049102500E-1,9.640289828E-2,-3.957490278E0,1.092034766E0,4.106526848E0
4.149142500E-1,2.938117692E-1,-4.336029080E0,1.333873851E0,4.546063460E0
4.249182500E-1,7.094056915E-1,-4.463386699E0,1.609038557E0,4.797299484E0
4.349212500E-1,9.071854220E-1,-4.389496019E0,2.056576257E0,4.931548093E0
4.449252500E-1,9.217632616E-1,-4.124672407E0,2.518088803E0,4.919689136E0
4.549282500E-1,7.331310613E-1,-3.530104715E0,2.590131177E0,4.439358058E0
4.649322500E-1,6.284761338E-1,-2.447747091E0,2.321466236E0,3.431567216E0
4.749362500E-1,7.963723531E-1,-1.280410420E0,1.724581878E0,2.290816977E0
4.849392500E-1,8.790066665E-1,-9.059502708E-1,3.345121908E-1,1.305870215E0
4.949432500E-1,1.954707528E0,2.490055789E-1,3.262535834E-1,1.997329892E0
5.049462500E-1,2.962707865E0,3.270075819E0,3.455628437E-1,4.426109740E0
5.149502500E-1,2.198958590E0,6.325845922E0,9.008220434E-1,6.757457056E0
5.249542500E-1,9.570216796E-1,7.369087427E0,2.727208039E0,7.915617708E0
5.349572500E-1,4.337148821E-1,5.387103515E0,4.333151080E0,6.927134412E0
5.449612500E-1,-1.622716364E-1,1.884041149E0,2.995300537E0,3.542282943E0
5.549652500E-1,-3.756800973E-1,-7.900791411E-1,7.997388875E-1,1.185302861E0
5.649682500E-1,-6.312516609E-1,-1.300101357E0,-1.525374842E-1,1.453275570E0
5.749722500E-1,-7.970728496E-1,-1.234076060E0,-5.510997829E0,5.703452105E0
5.849752500E-1,1.102053970E-2,-1.594390844E0,-9.955547723E0,1.008241707E1
